TEAM,AVG,PTS,Year,SeasonPtsRank,,,Philadelphia,,
Philadelphia,16747,38,2022,5,,,,,
Buffalo,8583,38,2022,5,,,,,
Ottawa,6860,38,2022,5,,,,,
New Jersey,12581,39,2022,7,,,,,
NY Islanders,17060,40,2022,8,,,,,
Chicago,17970,41,2022,9,,,,,
Columbus,15815,47,2022,10,,,,,
San Jose,12053,48,2022,11.5,,,,,
Winnipeg,11964,48,2022,11.5,,,,,
Detroit,16950,50,2022,13.5,,,,,
Vancouver,16018,50,2022,13.5,,,,,
Edmonton,13811,51,2022,15,,,,,
Dallas,17986,52,2022,16,,,,,
Los Angeles,14420,55,2022,17.5,,,,,
Anaheim,12774,55,2022,17.5,,,,,
Boston,17850,57,2022,19,,,,,
Calgary,12326,58,2022,20,,,,,
Vegas,18076,59,2022,21.5,,,,,
St. Louis,17534,59,2022,21.5,,,,,
Nashville,17148,60,2022,23,,,,,
Washington,18573,61,2022,24.5,,,,,
Minnesota,18571,61,2022,24.5,,,,,
NY Rangers,16327,64,2022,26,,,,,
Carolina,16861,67,2022,27,,,,,
Tampa Bay,19092,68,2022,28.5,,,,,
Pittsburgh,17434,68,2022,28.5,,,,,
Florida,14002,69,2022,30,,,,,
Colorado,17220,72,2022,31,,,,,
